passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,travel_time_sec,total_amount
Michael Schroeder,2017-09-15 19:01:38,2017-09-15 19:33:32,Cash,2,3.29,19.5,5.32,0.0,Schroeder,0 days 00:31:54,1914.0000000000002,24.82
Sarah Zavala,2017-02-04 12:30:23,2017-02-04 12:36:23,Card,1,1.3,6.5,1.45,0.0,Zavala,0 days 00:06:00,360.0,7.95
Gary Ray,2017-07-13 22:20:08,2017-07-13 22:21:47,Cash,5,0.6,4.0,1.06,0.0,Ray,0 days 00:01:39,99.0,5.0600000000000005
Charles Robertson,2017-05-05 20:34:48,2017-05-05 20:49:45,Cash,2,2.1,11.5,2.55,0.0,Robertson,0 days 00:14:57,897.0,14.05
Lauren Smith,2017-07-27 12:30:50,2017-07-27 12:39:54,Cash,1,1.06,7.5,1.66,0.0,Smith,0 days 00:09:04,544.0,9.16
Rachel White,2017-03-13 17:06:26,2017-03-13 17:16:19,Card,1,1.51,8.5,2.06,0.0,White,0 days 00:09:53,593.0,10.56
Luis Hall,2017-05-04 12:12:54,2017-05-04 12:24:12,Card,1,0.7,8.0,2.0,0.0,Hall,0 days 00:11:18,678.0,10.0
Ashley Ellis,2017-02-16 07:26:34,2017-02-16 07:46:01,Cash,1,4.05,16.5,2.0,0.0,Ellis,0 days 00:19:27,1167.0,18.5
Catherine Heath,2017-04-22 03:52:20,2017-04-22 03:56:29,Card,1,0.9,5.0,1.25,0.0,Heath,0 days 00:04:09,249.00000000000003,6.25
Lisa Ellis,2017-09-22 14:53:24,2017-09-22 14:59:29,Card,1,0.84,5.5,1.26,0.0,Ellis,0 days 00:06:05,365.0,6.76
Jill Stanley,2017-12-07 12:39:14,2017-12-07 12:57:18,Cash,1,1.3,12.0,2.0,0.0,Stanley,0 days 00:18:04,1084.0,14.0
Warren George,2017-03-17 22:41:16,2017-03-17 22:42:43,Cash,1,0.1,3.0,0.0,0.0,George,0 days 00:01:27,87.0,3.0
Jack Leonard,2017-06-19 10:28:22,2017-06-19 10:43:31,Card,1,7.3,22.5,3.5,0.0,Leonard,0 days 00:15:09,909.0,26.0
Jeffrey Jenkins,2017-12-15 19:44:19,2017-12-15 19:53:30,Cash,1,1.1,7.5,1.75,0.0,Jenkins,0 days 00:09:11,551.0,9.25
Emily Hall,2017-07-16 06:13:56,2017-07-16 06:22:50,Card,1,2.7,10.5,0.0,0.0,Hall,0 days 00:08:54,534.0,10.5
Gina Joseph,2017-10-20 23:37:01,2017-10-20 23:58:24,Cash,2,1.9,14.0,1.5,0.0,Joseph,0 days 00:21:23,1283.0,15.5
Cesar Steele,2017-10-11 12:39:34,2017-10-11 12:49:31,Card,1,1.3,8.0,1.75,0.0,Steele,0 days 00:09:57,597.0,9.75
Christopher Rush,2017-05-17 18:25:20,2017-05-17 18:43:56,Cash,1,1.1,12.0,2.0,0.0,Rush,0 days 00:18:36,1116.0,14.0
Jamie Ryan,2017-12-02 20:39:31,2017-12-02 21:07:39,Cash,1,5.8,22.5,4.76,0.0,Ryan,0 days 00:28:08,1688.0,27.259999999999998
Tiffany Cooper,2017-12-17 15:10:59,2017-12-17 15:31:06,Card,1,4.56,18.0,0.0,0.0,Cooper,0 days 00:20:07,1207.0,18.0
Anthony White,2017-06-23 19:20:56,2017-06-23 19:40:12,Card,2,1.1,12.0,2.75,0.0,White,0 days 00:19:16,1156.0,14.75
Aaron Reynolds,2017-02-26 18:29:55,2017-02-26 18:40:16,Cash,1,1.48,8.5,2.32,0.0,Reynolds,0 days 00:10:21,621.0,10.82
Leonard Smith,2017-03-11 11:14:53,2017-03-11 11:37:53,Card,1,15.76,52.0,11.67,5.54,Smith,0 days 00:23:00,1380.0,69.21000000000001
Kevin Christensen,2017-06-15 15:32:57,2017-06-15 16:37:23,Cash,2,16.9,93.75,5.0,0.0,Christensen,0 days 01:04:26,3866.0000000000005,98.75
Christopher Jones,2017-10-13 10:45:40,2017-10-13 10:58:00,Card,1,6.6,20.5,3.0,0.0,Jones,0 days 00:12:20,740.0,23.5
Mikayla Clark,2017-10-15 12:47:09,2017-10-15 12:58:47,Card,2,2.47,11.0,0.0,0.0,Clark,0 days 00:11:38,698.0,11.0
Christine Bishop,2017-12-01 00:01:26,2017-12-01 00:06:32,Cash,2,0.6,5.0,0.0,0.0,Bishop,0 days 00:05:06,306.0,5.0
Julie Turner,2017-11-10 19:55:18,2017-11-10 19:57:37,Card,5,0.37,3.5,1.0,0.0,Turner,0 days 00:02:19,139.0,4.5
Bryan Wilson,2017-11-10 21:18:12,2017-11-10 21:30:28,Card,2,2.71,11.0,1.0,0.0,Wilson,0 days 00:12:16,736.0,12.0
Alison Lindsey,2017-10-12 08:35:55,2017-10-12 08:43:30,Card,1,1.0,7.0,1.55,0.0,Lindsey,0 days 00:07:35,455.0,8.55
Stacy Horn,2017-07-10 09:16:36,2017-07-10 09:31:14,Card,1,1.21,10.0,2.16,0.0,Horn,0 days 00:14:38,878.0,12.16
Lisa Bowman,2017-10-21 23:09:32,2017-10-21 23:20:50,Card,5,2.75,11.0,2.46,0.0,Bowman,0 days 00:11:18,678.0,13.46
Brian Jones,2017-08-05 09:27:59,2017-08-05 09:41:32,Cash,2,1.36,10.0,2.16,0.0,Jones,0 days 00:13:33,813.0,12.16
Margaret Sims,2017-02-25 20:18:23,2017-02-25 20:27:27,Cash,2,0.77,7.0,1.7,0.0,Sims,0 days 00:09:04,544.0,8.7
Julian Miller,2017-08-30 19:55:16,2017-08-30 19:56:03,Card,2,0.26,3.0,0.0,0.0,Miller,0 days 00:00:47,47.0,3.0
Stephanie Lopez,2017-12-17 01:08:20,2017-12-17 01:14:25,Card,1,1.5,7.0,2.05,0.0,Lopez,0 days 00:06:05,365.0,9.05
Jeffrey Hopkins,2017-04-05 08:33:10,2017-04-05 08:36:18,Cash,1,0.4,4.0,0.95,0.0,Hopkins,0 days 00:03:08,188.0,4.95
Kathryn Armstrong,2017-02-27 18:34:17,2017-02-27 19:20:02,Cash,2,22.79,52.0,0.0,5.54,Armstrong,0 days 00:45:45,2745.0,57.54
Janet Duncan,2017-12-20 17:42:39,2017-12-20 19:09:56,Card,1,17.14,52.0,18.92,5.76,Duncan,0 days 01:27:17,5237.0,76.68
Jacob Austin,2017-01-25 17:09:31,2017-01-25 17:15:43,Cash,1,0.8,6.0,1.4,0.0,Austin,0 days 00:06:12,372.0,7.4
Samuel Shaw,2017-12-13 11:53:16,2017-12-13 12:13:46,Cash,1,2.5,14.0,0.0,0.0,Shaw,0 days 00:20:30,1230.0,14.0
Darren Washington,2017-02-25 22:10:12,2017-02-25 22:22:52,Card,1,2.4,11.0,1.2,0.0,Washington,0 days 00:12:40,760.0,12.2
Julie Morales,2017-05-17 18:32:30,2017-05-17 18:41:24,Cash,1,1.53,8.0,0.0,0.0,Morales,0 days 00:08:54,534.0,8.0
Regina Gordon,2017-05-11 13:41:45,2017-05-11 13:58:07,Cash,1,2.42,12.5,3.32,0.0,Gordon,0 days 00:16:22,982.0000000000001,15.82
Mark Gross,2017-04-22 00:04:19,2017-04-22 00:08:44,Card,6,0.55,5.0,1.26,0.0,Gross,0 days 00:04:25,265.0,6.26
Morgan Becker,2017-05-20 10:31:05,2017-05-20 10:38:45,Cash,1,1.0,7.0,1.55,0.0,Becker,0 days 00:07:40,460.00000000000006,8.55
Michael Brown,2017-01-11 18:29:03,2017-01-11 18:41:23,Cash,1,2.22,11.0,0.0,0.0,Brown,0 days 00:12:20,740.0,11.0
Nicholas Cooper,2017-10-14 23:27:57,2017-10-14 23:31:05,Cash,2,0.62,4.5,0.0,0.0,Cooper,0 days 00:03:08,188.0,4.5
Anthony Anderson,2017-06-29 17:45:58,2017-06-29 17:57:26,Card,2,0.56,8.0,0.0,0.0,Anderson,0 days 00:11:28,688.0,8.0
Mary Ross,2017-06-21 17:08:02,2017-06-21 17:34:13,Card,5,2.45,16.5,0.0,0.0,Ross,0 days 00:26:11,1571.0,16.5
Angel Hart,2017-03-13 21:20:53,2017-03-13 21:38:36,Cash,1,5.49,19.0,3.7,0.0,Hart,0 days 00:17:43,1063.0,22.7
Sarah Guerra,2017-02-08 20:41:14,2017-02-08 20:56:37,Card,1,2.88,12.5,3.45,0.0,Guerra,0 days 00:15:23,923.0000000000001,15.95
Catherine Summers,2017-06-15 21:00:39,2017-06-15 21:18:09,Cash,2,3.5,15.5,2.0,0.0,Summers,0 days 00:17:30,1050.0,17.5
Samuel Horn,2017-03-11 15:14:03,2017-03-11 15:18:51,Cash,1,0.64,5.0,0.0,0.0,Horn,0 days 00:04:48,288.0,5.0
Mr. Donald Smith,2017-09-14 18:47:01,2017-09-14 18:53:10,Card,1,1.3,6.5,1.65,0.0,Smith,0 days 00:06:09,369.0,8.15
Shannon King,2017-02-23 06:43:51,2017-02-23 06:51:59,Card,1,1.05,7.0,0.0,0.0,King,0 days 00:08:08,488.00000000000006,7.0
Alexandra Lee,2017-07-24 09:29:05,2017-07-24 09:36:34,Cash,4,0.66,6.0,0.0,0.0,Lee,0 days 00:07:29,449.0,6.0
Laura Le,2017-05-22 13:00:05,2017-05-22 13:07:50,Cash,4,0.6,6.0,0.0,0.0,Le,0 days 00:07:45,465.00000000000006,6.0
Kevin Kirby,2017-05-21 18:01:17,2017-05-21 18:18:03,Cash,5,1.89,12.0,2.56,0.0,Kirby,0 days 00:16:46,1006.0000000000001,14.56
Timothy Simmons,2017-09-18 12:16:12,2017-09-18 12:32:12,Card,1,1.4,11.5,2.45,0.0,Simmons,0 days 00:16:00,960.0000000000001,13.95
Paula Miller,2017-10-27 11:18:40,2017-10-27 11:50:05,Card,1,1.7,19.0,3.95,0.0,Miller,0 days 00:31:25,1885.0000000000002,22.95
Louis Hall,2017-05-16 08:39:28,2017-05-16 08:43:01,Cash,1,0.8,5.0,0.0,0.0,Hall,0 days 00:03:33,213.0,5.0
Colleen Howard,2017-12-07 10:25:21,2017-12-07 10:39:17,Cash,2,2.8,12.0,2.55,0.0,Howard,0 days 00:13:56,836.0,14.55
Sheryl Villarreal,2017-06-19 09:18:01,2017-06-19 09:20:11,Cash,1,0.49,4.0,0.96,0.0,Villarreal,0 days 00:02:10,130.0,4.96
Mark Marshall,2017-09-25 22:06:31,2017-09-25 22:10:14,Card,1,0.6,5.0,2.0,0.0,Marshall,0 days 00:03:43,223.0,7.0
James Sanchez,2017-10-08 11:45:07,2017-10-08 11:50:37,Card,1,1.0,6.0,1.35,0.0,Sanchez,0 days 00:05:30,330.0,7.35
Darius Stewart,2017-10-06 00:36:51,2017-10-06 00:45:57,Card,6,3.07,10.5,2.95,0.0,Stewart,0 days 00:09:06,546.0,13.45
Brianna Roach,2017-11-09 17:42:35,2017-11-09 17:51:20,Cash,1,2.34,9.0,2.16,0.0,Roach,0 days 00:08:45,525.0,11.16
Carla Johnston,2017-04-03 14:13:21,2017-04-03 14:34:50,Card,2,2.54,15.0,0.0,0.0,Johnston,0 days 00:21:29,1289.0,15.0
Carol King,2017-06-23 22:37:45,2017-06-23 22:43:23,Card,1,0.46,5.5,0.0,0.0,King,0 days 00:05:38,338.0,5.5
Ryan Steele,2017-05-29 15:12:17,2017-05-29 15:19:41,Cash,3,1.57,7.5,0.0,0.0,Steele,0 days 00:07:24,444.0,7.5
Angela Brown,2017-04-22 23:10:53,2017-04-22 23:32:20,Cash,2,3.03,15.0,1.63,0.0,Brown,0 days 00:21:27,1287.0,16.63
Mary Evans,2017-12-21 09:23:21,2017-12-21 09:34:26,Cash,2,1.1,8.5,1.85,0.0,Evans,0 days 00:11:05,665.0,10.35
Brian Jones,2017-08-24 16:47:37,2017-08-24 16:55:22,Card,1,1.5,7.5,2.0,0.0,Jones,0 days 00:07:45,465.00000000000006,9.5
Randy Johnson MD,2017-11-28 09:28:11,2017-11-28 09:47:33,Cash,1,0.49,12.0,1.0,0.0,MD,0 days 00:19:22,1162.0,13.0
Eric Stephenson,2017-10-21 01:01:48,2017-10-21 01:14:51,Card,1,1.7,10.0,2.26,0.0,Stephenson,0 days 00:13:03,783.0,12.26
Katelyn Mcintosh,2017-10-26 18:53:40,2017-10-26 19:29:23,Card,1,9.0,31.5,4.0,5.76,Mcintosh,0 days 00:35:43,2143.0,41.26
Ashley Gilbert,2017-09-23 00:15:18,2017-09-23 00:27:40,Cash,1,2.3,10.5,0.0,0.0,Gilbert,0 days 00:12:22,742.0,10.5
Aaron Moore,2017-05-21 14:06:50,2017-05-21 14:23:55,Card,1,1.97,12.5,2.66,0.0,Moore,0 days 00:17:05,1025.0,15.16
Alex Marsh,2017-09-06 15:36:45,2017-09-06 15:59:25,Cash,1,1.3,14.5,0.0,0.0,Marsh,0 days 00:22:40,1360.0,14.5
Kyle Lowe,2017-03-08 20:56:43,2017-03-08 21:07:09,Cash,1,1.64,8.5,1.2,0.0,Lowe,0 days 00:10:26,626.0,9.7
Wendy Jones,2017-05-14 11:37:41,2017-05-14 11:56:09,Card,2,3.45,15.0,3.16,0.0,Jones,0 days 00:18:28,1108.0,18.16
Matthew Saunders,2017-12-19 02:24:02,2017-12-19 02:36:56,Cash,1,6.27,18.5,4.95,0.0,Saunders,0 days 00:12:54,774.0,23.45
Lauren Banks,2017-11-27 11:50:03,2017-11-27 12:12:58,Cash,1,1.59,14.0,10.0,0.0,Banks,0 days 00:22:55,1375.0,24.0
Robert Leonard,2017-07-09 01:24:40,2017-07-09 01:36:10,Card,1,4.7,15.5,3.35,0.0,Leonard,0 days 00:11:30,690.0,18.85
Erin Johnson,2017-07-01 20:47:38,2017-07-01 21:27:12,Cash,1,8.1,31.0,0.0,0.0,Johnson,0 days 00:39:34,2374.0,31.0
Mr. Maxwell Huff,2017-11-12 13:20:26,2017-11-12 13:27:52,Cash,1,1.5,7.5,0.0,0.0,Huff,0 days 00:07:26,446.0,7.5
Katie Gomez,2017-06-23 12:15:35,2017-06-23 12:30:38,Card,1,1.3,10.5,2.25,0.0,Gomez,0 days 00:15:03,903.0,12.75
Michael Williams,2017-11-21 10:15:28,2017-11-21 10:36:08,Cash,1,3.2,14.5,0.0,0.0,Williams,0 days 00:20:40,1240.0,14.5
Michele Keller,2017-02-08 11:38:09,2017-02-08 11:53:51,Card,1,2.1,11.5,1.0,0.0,Keller,0 days 00:15:42,942.0000000000001,12.5
Jonathan Hansen,2017-12-17 12:45:08,2017-12-17 12:58:41,Cash,1,2.4,11.0,2.36,0.0,Hansen,0 days 00:13:33,813.0,13.36
Thomas Cooper,2017-01-29 22:30:35,2017-01-29 22:36:59,Cash,4,1.49,7.0,1.66,0.0,Cooper,0 days 00:06:24,384.0,8.66
Catherine Leblanc,2017-05-22 10:04:23,2017-05-22 10:19:28,Card,1,1.8,11.5,3.65,0.0,Leblanc,0 days 00:15:05,905.0,15.15
Sydney Schneider,2017-02-01 21:47:05,2017-02-01 21:56:01,Cash,1,2.25,9.0,2.06,0.0,Schneider,0 days 00:08:56,536.0,11.06
Megan Young,2017-04-15 04:35:50,2017-04-15 04:52:09,Cash,1,8.3,24.5,0.0,0.0,Young,0 days 00:16:19,979.0000000000001,24.5
Sarah Thomas,2017-03-27 23:07:05,2017-03-27 23:12:12,Card,1,1.0,5.5,1.0,0.0,Thomas,0 days 00:05:07,307.0,6.5
David Mack,2017-12-09 11:50:39,2017-12-09 12:08:36,Cash,5,3.38,14.5,0.0,0.0,Mack,0 days 00:17:57,1077.0,14.5
Yvonne Brooks,2017-08-26 07:33:22,2017-08-26 07:34:18,Card,1,0.1,2.5,0.0,0.0,Brooks,0 days 00:00:56,56.0,2.5
Mark Navarro,2017-10-04 08:03:09,2017-10-04 08:07:00,Card,5,0.55,4.5,0.0,0.0,Navarro,0 days 00:03:51,231.00000000000003,4.5
Brianna Shaw,2017-12-01 08:19:20,2017-12-01 08:36:06,Cash,1,2.0,12.5,2.5,0.0,Shaw,0 days 00:16:46,1006.0000000000001,15.0
Justin Smith,2017-12-13 22:16:54,2017-12-13 22:37:38,Card,1,3.0,15.0,1.0,0.0,Smith,0 days 00:20:44,1244.0,16.0
James Moreno,2017-06-07 18:48:15,2017-06-07 19:03:36,Cash,1,1.7,11.5,1.5,0.0,Moreno,0 days 00:15:21,921.0000000000001,13.0
Juan Wilson,2017-11-16 14:24:19,2017-11-16 14:32:38,Cash,1,0.7,6.5,0.0,0.0,Wilson,0 days 00:08:19,499.00000000000006,6.5
Daniel Johnson,2017-03-22 15:05:14,2017-03-22 15:15:39,Cash,1,0.8,7.5,1.65,0.0,Johnson,0 days 00:10:25,625.0,9.15
Anthony Rubio,2017-12-04 13:38:11,2017-12-04 13:49:41,Card,3,1.2,8.5,0.0,0.0,Rubio,0 days 00:11:30,690.0,8.5
Nicholas Charles,2017-10-30 11:23:46,2017-10-30 11:23:49,Card,1,0.32,100.0,25.2,0.0,Charles,0 days 00:00:03,3.0,125.2
Randall Cox,2017-08-09 12:08:18,2017-08-09 12:17:26,Card,1,1.0,7.5,1.65,0.0,Cox,0 days 00:09:08,548.0,9.15
Ashley Coffey,2017-08-17 13:37:56,2017-08-17 14:13:38,Card,1,7.8,29.0,0.0,0.0,Coffey,0 days 00:35:42,2142.0,29.0
Jill Gallagher,2017-05-29 16:25:32,2017-05-29 16:44:06,Card,6,10.51,30.0,0.0,0.0,Gallagher,0 days 00:18:34,1114.0,30.0
William Sandoval,2017-02-08 07:55:03,2017-02-08 08:17:47,Cash,5,6.14,21.5,4.46,0.0,Sandoval,0 days 00:22:44,1364.0,25.96
Nicole Avery,2017-02-03 14:05:50,2017-02-03 14:22:54,Cash,1,2.47,12.5,2.66,0.0,Avery,0 days 00:17:04,1024.0,15.16
Benjamin Walsh,2017-08-18 23:46:22,2017-08-18 23:57:03,Cash,1,2.5,10.5,1.5,0.0,Walsh,0 days 00:10:41,641.0,12.0
Melissa Myers,2017-07-14 22:16:21,2017-07-14 22:29:18,Card,2,2.3,11.0,3.65,0.0,Myers,0 days 00:12:57,777.0,14.65
Shawna Foster,2017-09-28 11:36:30,2017-09-28 11:49:58,Card,5,1.93,10.5,2.82,0.0,Foster,0 days 00:13:28,808.0,13.32
Anna Jones,2017-06-15 07:27:35,2017-06-15 07:35:01,Cash,1,2.14,8.5,1.86,0.0,Jones,0 days 00:07:26,446.0,10.36
Sally White,2017-02-18 02:09:59,2017-02-18 02:14:00,Card,1,0.8,5.0,0.0,0.0,White,0 days 00:04:01,241.00000000000003,5.0
Luis Reyes,2017-09-05 15:27:50,2017-09-05 15:37:24,Card,1,1.9,8.5,1.85,0.0,Reyes,0 days 00:09:34,574.0,10.35
Michael Hernandez,2017-04-16 09:31:14,2017-04-16 09:42:18,Card,1,2.53,10.5,2.26,0.0,Hernandez,0 days 00:11:04,664.0,12.76
Tara Sanders DVM,2017-10-30 08:58:07,2017-10-30 09:16:55,Cash,1,1.3,12.0,0.0,0.0,DVM,0 days 00:18:48,1128.0,12.0
Mark Bright,2017-06-07 04:03:00,2017-06-07 04:13:47,Cash,1,2.9,12.0,1.5,0.0,Bright,0 days 00:10:47,647.0,13.5
Anna Hooper,2017-08-26 17:24:27,2017-08-26 17:25:50,Card,1,0.2,3.0,0.0,0.0,Hooper,0 days 00:01:23,83.0,3.0
Tony Washington,2017-03-10 18:21:16,2017-03-10 18:24:41,Cash,5,0.77,4.5,1.58,0.0,Washington,0 days 00:03:25,205.0,6.08
Nicholas Schwartz,2017-07-15 10:12:15,2017-07-15 10:17:28,Card,3,1.38,6.0,1.0,0.0,Schwartz,0 days 00:05:13,313.0,7.0
Amanda Peterson,2017-10-19 06:58:17,2017-10-19 07:03:56,Card,1,1.7,7.0,1.56,0.0,Peterson,0 days 00:05:39,339.0,8.56
Tina Rose,2017-04-17 09:29:22,2017-04-17 09:43:17,Cash,1,1.92,10.5,0.0,0.0,Rose,0 days 00:13:55,835.0,10.5
Janet Singleton,2017-03-10 22:07:33,2017-03-10 22:36:06,Card,3,5.66,22.5,5.95,0.0,Singleton,0 days 00:28:33,1713.0,28.45
Barbara Pope,2017-03-29 17:16:46,2017-03-29 17:19:52,Cash,1,0.5,4.0,0.0,0.0,Pope,0 days 00:03:06,186.0,4.0
Jay Kerr,2017-01-30 10:46:53,2017-01-30 11:14:47,Cash,1,10.29,33.0,7.87,5.54,Kerr,0 days 00:27:54,1674.0,46.41
Autumn Pham,2017-10-05 09:30:26,2017-10-05 09:51:31,Card,6,1.48,13.5,2.86,0.0,Pham,0 days 00:21:05,1265.0,16.36
Anthony Allen,2017-10-08 19:48:57,2017-10-08 19:57:45,Cash,1,1.96,9.0,1.96,0.0,Allen,0 days 00:08:48,528.0,10.96
Cody Butler,2017-09-01 19:47:22,2017-09-01 19:54:34,Cash,1,2.02,8.0,1.96,0.0,Butler,0 days 00:07:12,432.0,9.96
Lauren Hernandez,2017-08-18 22:36:35,2017-08-18 22:52:00,Card,1,4.37,15.0,0.0,0.0,Hernandez,0 days 00:15:25,925.0000000000001,15.0
Dana Butler,2017-10-06 01:21:17,2017-10-06 01:34:40,Card,1,3.34,13.0,0.0,0.0,Butler,0 days 00:13:23,803.0,13.0
Gregory Weiss,2017-06-05 18:06:06,2017-06-05 18:09:55,Card,1,0.63,4.5,1.89,0.0,Weiss,0 days 00:03:49,229.00000000000003,6.39
Chloe Hayes,2017-10-08 14:02:16,2017-10-08 14:17:26,Card,5,1.8,10.5,2.25,0.0,Hayes,0 days 00:15:10,910.0,12.75
David Vaughn,2017-04-16 12:23:18,2017-04-16 12:33:10,Cash,1,1.9,8.5,1.85,0.0,Vaughn,0 days 00:09:52,592.0,10.35
Patricia Brown,2017-08-29 13:12:40,2017-08-29 13:23:59,Card,1,2.2,10.0,2.7,0.0,Brown,0 days 00:11:19,679.0,12.7
Brian Mullins,2017-10-06 23:30:02,2017-10-06 23:35:01,Cash,1,0.87,5.5,1.36,0.0,Mullins,0 days 00:04:59,299.0,6.86
Gary Frey,2017-12-20 07:34:55,2017-12-20 07:41:33,Cash,1,0.56,6.0,0.0,0.0,Frey,0 days 00:06:38,398.0,6.0
Jason Davis,2017-01-09 14:46:17,2017-01-09 14:51:55,Card,1,0.6,5.5,1.85,0.0,Davis,0 days 00:05:38,338.0,7.35
Walter Jones,2017-08-31 14:36:33,2017-08-31 14:42:24,Cash,2,0.97,6.0,1.7,0.0,Jones,0 days 00:05:51,351.0,7.7
Brittany Jones,2017-09-08 15:18:51,2017-09-08 15:32:25,Card,1,1.5,10.0,2.15,0.0,Jones,0 days 00:13:34,814.0,12.15
Stephen Johnson,2017-04-17 18:37:35,2017-04-17 18:45:36,Cash,1,1.37,7.5,0.0,0.0,Johnson,0 days 00:08:01,481.00000000000006,7.5
Wendy Robbins,2017-09-10 20:44:41,2017-09-10 21:14:02,Cash,1,9.13,29.5,0.0,5.76,Robbins,0 days 00:29:21,1761.0,35.26
Jonathan Campos,2017-05-20 13:41:28,2017-05-20 14:19:54,Card,1,7.69,29.0,5.96,0.0,Campos,0 days 00:38:26,2306.0,34.96
Margaret Stout,2017-06-04 22:03:41,2017-06-04 22:35:14,Card,1,17.1,52.0,10.0,0.0,Stout,0 days 00:31:33,1893.0000000000002,62.0
Megan Cox,2017-02-28 15:00:54,2017-02-28 15:11:09,Cash,1,1.5,8.5,2.5,0.0,Cox,0 days 00:10:15,615.0,11.0
Diana Chen,2017-11-02 18:41:49,2017-11-02 18:49:14,Card,1,0.84,6.5,1.66,0.0,Chen,0 days 00:07:25,445.0,8.16
Scott Hernandez,2017-12-04 14:40:25,2017-12-04 14:46:19,Cash,1,0.86,6.0,0.0,0.0,Hernandez,0 days 00:05:54,354.0,6.0
Benjamin Smith,2017-06-21 19:39:54,2017-06-21 19:53:08,Card,1,2.0,10.5,0.0,0.0,Smith,0 days 00:13:14,794.0,10.5
Nathaniel Richards,2017-01-04 08:23:08,2017-01-04 08:42:06,Cash,1,2.11,13.0,2.76,0.0,Richards,0 days 00:18:58,1138.0,15.76
Raymond Rivas,2017-01-07 11:39:17,2017-01-07 11:44:36,Card,3,0.7,5.5,0.0,0.0,Rivas,0 days 00:05:19,319.0,5.5
Brett Powell,2017-07-09 11:07:27,2017-07-09 11:22:43,Cash,1,4.03,14.5,0.0,0.0,Powell,0 days 00:15:16,916.0000000000001,14.5
Kathleen Green,2017-02-20 10:01:04,2017-02-20 10:03:32,Cash,1,0.6,4.5,0.0,0.0,Green,0 days 00:02:28,148.0,4.5
Kelsey Hale,2017-02-21 15:49:29,2017-02-21 16:01:36,Cash,2,1.95,10.0,3.24,0.0,Hale,0 days 00:12:07,727.0,13.24
Bryce Jackson,2017-08-21 10:02:58,2017-08-21 10:19:51,Card,1,1.6,11.5,0.0,0.0,Jackson,0 days 00:16:53,1013.0000000000001,11.5
Thomas Roberts,2017-01-18 04:54:48,2017-01-18 04:58:40,Cash,1,0.8,5.0,1.85,0.0,Roberts,0 days 00:03:52,232.00000000000003,6.85
Tracy Stein,2017-05-12 09:09:13,2017-05-12 09:12:27,Cash,1,0.5,4.0,0.0,0.0,Stein,0 days 00:03:14,194.0,4.0
Casey Arnold,2017-12-19 19:28:13,2017-12-19 19:36:57,Card,4,1.21,7.5,1.86,0.0,Arnold,0 days 00:08:44,524.0,9.36
Keith Gibson,2017-10-14 11:00:17,2017-10-14 11:03:42,Cash,2,0.7,4.5,0.0,0.0,Gibson,0 days 00:03:25,205.0,4.5
Nicole Richards,2017-06-12 20:59:03,2017-06-12 21:05:56,Card,2,1.1,6.5,1.55,0.0,Richards,0 days 00:06:53,413.0,8.05
Kayla Robinson,2017-07-26 17:46:43,2017-07-26 18:04:55,Card,1,1.49,12.0,0.0,0.0,Robinson,0 days 00:18:12,1092.0,12.0
Michelle Carey,2017-02-28 09:59:30,2017-02-28 10:08:05,Cash,1,0.9,7.0,1.55,0.0,Carey,0 days 00:08:35,515.0,8.55
Jeffery Green,2017-09-21 08:49:58,2017-09-21 08:59:13,Cash,5,2.35,10.0,2.7,0.0,Green,0 days 00:09:15,555.0,12.7
James Richardson,2017-01-03 07:39:49,2017-01-03 07:47:19,Card,1,1.2,7.0,1.56,0.0,Richardson,0 days 00:07:30,450.0,8.56
Andrea Anderson,2017-02-13 08:55:39,2017-02-13 09:00:55,Card,6,0.84,5.5,1.26,0.0,Anderson,0 days 00:05:16,316.0,6.76
Erin Parker,2017-06-30 22:56:05,2017-06-30 23:20:25,Cash,1,4.62,18.5,1.8,0.0,Parker,0 days 00:24:20,1460.0,20.3
Gerald Moore,2017-02-16 06:18:54,2017-02-16 06:26:40,Card,1,1.2,7.5,0.0,0.0,Moore,0 days 00:07:46,466.00000000000006,7.5
Tina Murillo,2017-02-13 23:16:30,2017-02-13 23:37:03,Card,1,5.9,54.7,3.0,0.0,Murillo,0 days 00:20:33,1233.0,57.7
Faith Townsend,2017-06-01 23:36:40,2017-06-01 23:44:09,Cash,2,1.2,7.0,1.66,0.0,Townsend,0 days 00:07:29,449.0,8.66
Adam Jones,2017-07-28 22:52:19,2017-07-28 23:13:43,Cash,1,3.7,16.5,2.31,0.0,Jones,0 days 00:21:24,1284.0,18.81
Suzanne Garcia,2017-05-06 11:38:09,2017-05-06 12:03:39,Cash,1,10.07,30.0,3.0,0.0,Garcia,0 days 00:25:30,1530.0,33.0
Nicole Melendez,2017-10-11 23:00:33,2017-10-11 23:12:37,Card,2,2.09,10.0,0.0,0.0,Melendez,0 days 00:12:04,724.0,10.0
John Harper,2017-05-03 14:42:14,2017-05-03 14:52:09,Card,1,0.69,7.5,1.66,0.0,Harper,0 days 00:09:55,595.0,9.16
Sarah Cochran,2017-07-11 15:20:43,2017-07-11 15:33:31,Cash,1,0.97,9.0,1.0,0.0,Cochran,0 days 00:12:48,768.0,10.0
